id;name_eng;city_eng;country_eng;IATA;ICAO;timeZone
4045;Central Wisconsin Airport;Wassau;United States;CWA;KCWA;-6,0
4046;General Wayne A. Downing Peoria International Airport;Peoria;United States;PIA;KPIA;-6,0
4047;Appleton International Airport;Appleton;United States;ATW;KATW;-6,0
4048;Rochester International Airport;Rochester;United States;RST;KRST;-6,0
4049;University of Illinois Willard Airport;Champaign;United States;CMI;KCMI;-6,0
4050;Manhattan Regional Airport;Manhattan;United States;MHK;KMHK;-6,0
4051;Kingscote Airport;Kingscote;Australia;KGC;YKSC;42864,0
4052;Hervey Bay Airport;Hervey Bay;Australia;HVB;YHBA;10,0
4054;Dali Airport;Dali;China;DLU;ZPDL;8,0
4056;Mulu Airport;Mulu;Malaysia;MZV;WBMU;8,0
4057;Sharm El Sheikh International Airport;Sharm El Sheikh;Egypt;SSH;HESH;2,0
4058;Venango Regional Airport;Franklin;United States;FKL;KFKL;-5,0
4059;Jomo Kenyatta International Airport;Nairobi;Kenya;NBO;HKJK;3,0
4060;Seronera Airport;Seronera;Tanzania;SEU;HTSN;3,0
4061;El Calafate Airport;El Calafate;Argentina;FTE;SAWC;-3,0
4062;Armidale Airport;Armidale;Australia;ARM;YARM;10,0
4063;Grand Junction Regional Airport;Grand Junction;United States;GJT;KGJT;-7,0
4064;St George Municipal Airport;Saint George;United States;SGU;KSGU;-7,0
4065;David Wayne Hooks Memorial Airport;Houston;United States;DWH;KDWH;-6,0
4066;Port O'Connor Private Airport;Port O\\'Connor;United States;S46;XS46;-6,0
4067;Sarasota Bradenton International Airport;Sarasota;United States;SRQ;KSRQ;-5,0
4069;L.F. Wade International International Airport;Bermuda;Bermuda;BDA;TXKF;-4,0
4071;Van Nuys Airport;Van Nuys;United States;VNY;KVNY;-8,0
4072;Quad City International Airport;Moline;United States;MLI;KMLI;-6,0
4073;Panama City-Bay Co International Airport;Panama City;United States;PFN;KPFN;-6,0
4074;Honiara International Airport;Honiara;Solomon Islands;HIR;AGGH;11,0
4075;Faa'a International Airport;Papeete;French Polynesia;PPT;NTAA;-10,0
4076;Nauru International Airport;Nauru;Nauru;INU;ANYN;12,0
4077;Funafuti International Airport;Funafuti;Tuvalu;FUN;NGFU;12,0
4078;Tolmachevo Airport;Novosibirsk;Russia;OVB;UNNT;7,0
4080;Samsø Airport;Samsoe;Denmark;Null;EKSS;1,0
4081;Xieng Khouang Airport;Phon Savan;Laos;XKH;VLXK;7,0
4083;Bismarck Municipal Airport;Bismarck;United States;BIS;KBIS;-6,0
